time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2015-09-30 02:00:00,0.6683,0.5495,0.5877,11742.03,7258.08,0.6586,direct,
2015-10-01 02:00:00,0.66,0.571,0.6586,7735.29,4699.65,0.6234,direct,
2015-10-02 02:00:00,0.6235,0.569,0.6234,3820.02,2284.2,0.6039,direct,
2015-10-03 02:00:00,0.6356,0.6009,0.603,228153.37,139572.29,0.6117,multiply,BTC
2015-10-04 02:00:00,0.6066,0.5896,0.621,2248.63,1347.54,0.6012,direct,
2015-10-05 02:00:00,0.6024,0.5569,0.6012,7355.61,4255.16,0.5575,direct,
2015-10-06 02:00:00,0.5709,0.5399,0.5575,10699.05,5846.79,0.5696,direct,
2015-10-07 02:00:00,0.57,0.527,0.5696,4383.68,2393.97,0.5466,direct,
2015-10-08 02:00:00,0.5598,0.5274,0.5466,5141.29,2814.35,0.5444,direct,
2015-10-09 02:00:00,0.6139,0.545,0.5444,7837.67,4571.5,0.58,direct,
2015-10-10 02:00:00,0.574,0.552,0.58,868.97,490.13,0.5581,direct,
2015-10-11 02:00:00,0.5619,0.54,0.5581,3596.25,1973.3,0.5503,direct,
2015-10-12 02:00:00,0.5785,0.5495,0.5564,167554.57,92752.33,0.5536,multiply,BTC
2015-10-13 02:00:00,0.6338,0.5299,0.555,12768.29,6895.12,0.5358,direct,
2015-10-14 02:00:00,0.5325,0.4101,0.5358,84252.47,42538.78,0.4307,direct,
2015-10-15 02:00:00,0.5064,0.4356,0.4307,4719.78,2286.56,0.4901,direct,
2015-10-16 02:00:00,0.5091,0.4582,0.4901,22228.65,10846.31,0.46,direct,
2015-10-17 02:00:00,0.491,0.46,0.46,30951.19,14381.21,0.48,direct,
2015-10-18 02:00:00,0.48,0.45,0.48,1895.12,872.9,0.4578,direct,
2015-10-19 02:00:00,0.46,0.4275,0.4578,7997.87,3549.78,0.4453,direct,
2015-10-20 02:00:00,0.4499,0.3889,0.4453,31871.96,13139.62,0.3902,direct,
2015-10-21 02:00:00,0.4171,0.36,0.3902,83644.11,31305.59,0.3828,direct,
2015-10-22 02:00:00,0.5899,0.3662,0.3828,52780.3,24244.2,0.5262,direct,
2015-10-23 02:00:00,0.5695,0.4504,0.5262,21385.74,10903.53,0.4643,direct,
2015-10-24 02:00:00,0.5136,0.472,0.4643,6512.76,3197.47,0.5136,direct,
2015-10-25 02:00:00,0.62,0.51,0.5136,35676.19,20478.62,0.5597,direct,
2015-10-26 01:00:00,0.6731,0.51,0.5597,30433.69,19022.56,0.6731,direct,
2015-10-27 01:00:00,0.8045,0.608,0.6731,62835.62,47024.11,0.778,direct,
2015-10-28 01:00:00,0.97,0.701,0.778,70864.57,57201.64,0.9279,direct,
2015-10-29 01:00:00,1.09,0.86,0.9279,45369.6,44965.41,1.06,direct,
2015-10-30 01:00:00,1.21,0.8801,1.06,81678.6,84335.73,0.945,direct,
2015-10-31 01:00:00,0.945,0.8,0.945,17698.88,14976.17,0.8,direct,
2015-11-01 01:00:00,0.9774,0.792,0.8,26411.39,23527.97,0.97,direct,
2015-11-02 01:00:00,0.99,0.86,0.97,30136.02,28487.1,0.86,direct,
2015-11-03 01:00:00,0.9684,0.8265,0.86,42798.69,38696.0,0.9012,direct,
2015-11-04 01:00:00,0.9798,0.7049,0.9012,79997.21,66042.23,0.7903,direct,
2015-11-05 01:00:00,0.8999,0.7906,0.7903,16058.68,13592.16,0.8326,direct,
2015-11-06 01:00:00,0.9115,0.8012,0.8326,36258.55,29987.32,0.8272,direct,
2015-11-07 01:00:00,0.88,0.8,0.8272,36028.99,29672.74,0.8468,direct,
2015-11-08 01:00:00,0.9499,0.8477,0.8468,27406.74,24740.44,0.9449,direct,
2015-11-09 01:00:00,1.023,0.8638,0.9449,84214.13,81265.77,0.9378,direct,
2015-11-10 01:00:00,0.9943,0.8609,0.9378,56722.18,51321.24,0.8719,direct,
2015-11-11 01:00:00,0.8768,0.683,0.8719,92231.09,71826.9,0.7361,direct,
2015-11-12 01:00:00,0.8486,0.7224,0.7361,25558.2,20566.4,0.8298,direct,
2015-11-13 01:00:00,0.8465,0.7907,0.8298,20946.96,17088.16,0.8396,direct,
2015-11-14 01:00:00,0.8522,0.8132,0.8396,31761.18,26500.89,0.8235,direct,
2015-11-15 01:00:00,0.8582,0.8192,0.8235,11254.69,9445.46,0.8547,direct,
2015-11-16 01:00:00,0.8803,0.8326,0.8547,21576.84,18480.49,0.8751,direct,
2015-11-17 01:00:00,0.9663,0.8451,0.8751,61007.73,55822.77,0.9363,direct,
2015-11-18 01:00:00,0.9587,0.8628,0.9363,21335.25,19519.46,0.9345,direct,
2015-11-19 01:00:00,0.94,0.87,0.9345,22152.38,19914.53,0.8889,direct,
2015-11-20 01:00:00,0.8938,0.8477,0.8889,19635.78,17156.98,0.8738,direct,
2015-11-21 01:00:00,0.9356,0.865,0.8738,13964.36,12630.61,0.9179,direct,
2015-11-22 01:00:00,0.9368,0.8998,0.9179,24523.42,22706.29,0.914,direct,
2015-11-23 01:00:00,0.9152,0.8735,0.914,10561.79,9481.19,0.896,direct,
2015-11-24 01:00:00,0.9003,0.8526,0.896,17872.74,15671.43,0.8535,direct,
2015-11-25 01:00:00,0.8544,0.8029,0.8535,34614.31,28585.6,0.8248,direct,
2015-11-26 01:00:00,0.8499,0.7513,0.8248,34737.97,27769.43,0.8328,direct,
2015-11-27 01:00:00,0.8575,0.803,0.8328,17347.88,14387.53,0.8301,direct,
2015-11-28 01:00:00,0.8774,0.8042,0.8301,13528.5,11498.85,0.8662,direct,
2015-11-29 01:00:00,0.8788,0.8122,0.8662,12932.17,10717.24,0.8251,direct,
2015-11-30 01:00:00,0.8405,0.805,0.8251,23504.72,19184.35,0.8299,direct,
2015-12-01 01:00:00,0.9162,0.79,0.8299,38171.07,31715.6,0.8206,direct,
2015-12-02 01:00:00,0.839,0.7802,0.8206,29714.14,23649.04,0.7803,direct,
2015-12-03 01:00:00,0.8305,0.7242,0.7803,41668.7,31617.77,0.7556,direct,
2015-12-04 01:00:00,0.7768,0.7313,0.7556,19114.4,14323.28,0.7764,direct,
2015-12-05 01:00:00,0.8034,0.7634,0.7764,10088.06,7893.37,0.7855,direct,
2015-12-06 01:00:00,0.8045,0.7631,0.7855,8626.53,6805.88,0.7631,direct,
2015-12-07 01:00:00,0.7719,0.7308,0.7631,13109.38,9722.79,0.7317,direct,
2015-12-08 01:00:00,0.7483,0.7203,0.7317,15078.79,10944.49,0.7472,direct,
2015-12-09 01:00:00,0.7559,0.7061,0.7472,19421.4,13954.02,0.7194,direct,
2015-12-10 01:00:00,0.7884,0.713,0.7194,21666.11,16402.4,0.7701,direct,
2015-12-11 01:00:00,0.8154,0.7337,0.7701,20309.69,15697.1,0.814,direct,
2015-12-12 01:00:00,0.8892,0.7809,0.814,73065.64,62955.36,0.8802,direct,
2015-12-13 01:00:00,0.885,0.84,0.8802,17396.25,14989.67,0.8603,direct,
2015-12-14 01:00:00,0.9106,0.8618,0.8603,45560.6,40912.21,0.891,direct,
2015-12-15 01:00:00,0.9298,0.879,0.891,33192.89,30124.91,0.92,direct,
2015-12-16 01:00:00,0.9212,0.8889,0.92,6667.75,6011.99,0.8989,direct,
2015-12-17 01:00:00,0.9051,0.8367,0.8989,32251.03,27907.55,0.8608,direct,
2015-12-18 01:00:00,0.8661,0.832,0.8608,13412.87,11336.9,0.8333,direct,
2015-12-19 01:00:00,0.8443,0.8203,0.8333,21986.86,18183.89,0.8266,direct,
2015-12-20 01:00:00,0.8782,0.8157,0.8266,23551.12,19932.5,0.8226,direct,
2015-12-21 01:00:00,0.8352,0.8195,0.8226,62648.56,51609.9,0.8197,direct,
2015-12-22 01:00:00,0.8333,0.796,0.8197,25078.86,20259.62,0.796,direct,
2015-12-23 01:00:00,0.7996,0.7721,0.796,12917.6,10130.9,0.7782,direct,
2015-12-24 01:00:00,0.8009,0.773,0.7782,17456.88,13757.74,0.7855,direct,
2015-12-25 01:00:00,0.8785,0.7807,0.7855,29231.48,24328.48,0.7902,direct,
2015-12-26 01:00:00,0.8145,0.775,0.7902,33494.46,26279.02,0.7882,direct,
2015-12-27 01:00:00,0.7837,0.7671,0.7882,13920.15,10775.72,0.7823,direct,
2015-12-28 01:00:00,0.7974,0.76,0.7823,27890.19,21729.63,0.7689,direct,
2015-12-29 01:00:00,0.8033,0.7603,0.7689,18886.09,14557.71,0.7831,direct,
2015-12-30 01:00:00,0.8838,0.7831,0.7831,34680.66,28731.67,0.8434,direct,
2015-12-31 01:00:00,0.8841,0.8271,0.8434,18458.92,16074.11,0.8536,direct,
2016-01-01 01:00:00,0.8705,0.8512,0.8536,11683.62,10007.43,0.8534,direct,
2016-01-02 01:00:00,0.8856,0.8534,0.8534,9050.35,7908.98,0.8562,direct,
2016-01-03 01:00:00,0.9008,0.8557,0.8562,16560.07,14687.97,0.8848,direct,
2016-01-04 01:00:00,0.8977,0.8496,0.8848,37650.95,33030.18,0.883,direct,
2016-01-05 01:00:00,0.89,0.8551,0.883,17262.11,15252.07,0.8879,direct,
2016-01-06 01:00:00,0.8892,0.8703,0.8879,18752.73,16571.03,0.8763,direct,
2016-01-07 01:00:00,0.8983,0.8679,0.8763,57853.84,51377.76,0.8686,direct,
2016-01-08 01:00:00,0.9064,0.8671,0.8686,42070.12,37702.15,0.8967,direct,
2016-01-09 01:00:00,0.9157,0.8819,0.8967,28460.17,25726.21,0.9076,direct,
2016-01-10 01:00:00,0.9188,0.8941,0.9076,25462.61,23145.09,0.9102,direct,
2016-01-11 01:00:00,0.9797,0.91,0.9102,80794.45,76384.99,0.9756,direct,
2016-01-12 01:00:00,1.188,0.9654,0.9756,137860.24,150480.06,1.077,direct,
2016-01-13 01:00:00,1.078,0.9933,1.077,52907.11,53964.05,1.043,direct,
2016-01-14 01:00:00,1.085,1.018,1.043,23122.0,24265.09,1.069,direct,
2016-01-15 01:00:00,1.298,1.011,1.069,203825.8,238447.81,1.112,direct,
2016-01-16 01:00:00,1.228,1.071,1.112,96920.44,112095.19,1.134,direct,
2016-01-17 01:00:00,1.201,1.112,1.134,26407.45,30550.07,1.197,direct,
2016-01-18 01:00:00,1.425,1.188,1.197,154776.1,203692.65,1.288,direct,
2016-01-19 01:00:00,1.342,1.198,1.288,79706.05,100261.37,1.25,direct,
2016-01-20 01:00:00,1.561,1.249,1.25,122706.45,175434.47,1.411,direct,
2016-01-21 01:00:00,1.463,1.36,1.411,52431.77,73617.28,1.447,direct,
2016-01-22 01:00:00,1.463,1.36,1.447,42141.26,59235.66,1.396,direct,
2016-01-23 01:00:00,1.879,1.39,1.396,226069.86,379200.89,1.853,direct,
2016-01-24 01:00:00,2.199,1.552,1.853,237618.65,469242.73,1.998,direct,
2016-01-25 01:00:00,2.483,1.871,1.998,223124.46,506402.81,2.329,direct,
2016-01-26 01:00:00,2.639,2.141,2.329,189789.19,470110.0,2.141,direct,
2016-01-27 01:00:00,2.464,2.031,2.141,85317.12,189494.82,2.216,direct,
2016-01-28 01:00:00,2.459,2.156,2.216,60195.75,139877.54,2.3,direct,
2016-01-29 01:00:00,2.405,2.155,2.3,70928.96,162479.56,2.285,direct,
2016-01-30 01:00:00,2.403,2.238,2.285,49866.24,116085.05,2.255,direct,
2016-01-31 01:00:00,2.339,2.012,2.255,124739.9,266100.31,2.181,direct,
2016-02-01 01:00:00,2.19,1.95,2.181,104140.63,210478.01,2.04,direct,
2016-02-02 01:00:00,2.271,1.961,2.04,67678.49,143189.36,2.199,direct,
2016-02-03 01:00:00,2.319,2.127,2.199,71532.59,160880.47,2.296,direct,
2016-02-04 01:00:00,2.373,2.198,2.296,45269.76,103098.3,2.316,direct,
2016-02-05 01:00:00,2.366,2.214,2.316,44623.7,100845.99,2.271,direct,
2016-02-06 01:00:00,2.286,2.209,2.271,15586.57,34915.52,2.261,direct,
2016-02-07 01:00:00,2.699,2.249,2.261,146662.25,366281.55,2.602,direct,
2016-02-08 01:00:00,2.939,2.59,2.602,218596.94,606467.22,2.855,direct,
2016-02-09 01:00:00,3.34,2.82,2.855,328749.79,1035526.28,3.317,direct,
2016-02-10 01:00:00,4.322,3.215,3.317,424084.44,1619279.25,3.925,direct,
2016-02-11 01:00:00,5.202,3.791,3.925,288059.38,1310566.95,5.143,direct,
2016-02-12 01:00:00,5.68,4.305,5.143,327065.96,1645095.87,4.85,direct,
2016-02-13 01:00:00,5.053,3.514,4.85,324215.55,1372921.76,4.596,direct,
2016-02-14 01:00:00,4.883,3.95,4.596,102805.71,450159.5,4.532,direct,
2016-02-15 01:00:00,5.199,4.451,4.532,129680.68,626849.04,4.721,direct,
2016-02-16 01:00:00,4.851,3.551,4.721,190265.26,788650.97,3.816,direct,
2016-02-17 01:00:00,4.283,3.118,3.816,178892.27,634474.73,3.301,direct,
2016-02-18 01:00:00,4.205,3.072,3.301,186004.33,696968.09,3.851,direct,
2016-02-19 01:00:00,4.293,3.8,3.851,75391.92,305024.47,4.023,direct,
2016-02-20 01:00:00,4.256,3.701,4.023,79525.85,313559.19,3.864,direct,
2016-02-21 01:00:00,4.205,3.8,3.864,62094.73,251064.87,4.197,direct,
2016-02-22 01:00:00,5.114,4.052,4.197,170540.4,784527.23,5.064,direct,
2016-02-23 01:00:00,5.302,4.842,5.064,138150.74,709983.71,5.083,direct,
2016-02-24 01:00:00,5.668,5.0,5.083,88663.63,476889.72,5.562,direct,
2016-02-25 01:00:00,6.002,4.903,5.562,160578.79,899287.2,5.381,direct,
2016-02-26 01:00:00,5.671,5.169,5.381,109950.62,594943.81,5.402,direct,
2016-02-27 01:00:00,5.98,5.402,5.402,69078.67,396588.01,5.78,direct,
2016-02-28 01:00:00,5.955,5.616,5.78,58443.03,343381.3,5.861,direct,
2016-02-29 01:00:00,5.933,5.524,5.861,72207.6,414376.35,5.734,direct,
2016-03-01 01:00:00,7.781,5.732,5.734,219860.91,1437107.12,6.935,direct,
2016-03-02 01:00:00,7.983,6.712,6.935,183511.49,1363969.88,7.757,direct,
2016-03-03 01:00:00,9.502,7.06,7.757,304648.05,2611505.56,8.698,direct,
2016-03-04 01:00:00,9.28,7.544,8.698,165721.74,1413342.8,9.128,direct,
2016-03-05 01:00:00,10.81,8.76,9.128,271839.24,2761357.88,10.06,direct,
2016-03-06 01:00:00,10.6,9.0,10.06,226419.16,2229775.74,10.0,direct,
2016-03-07 01:00:00,10.4,8.353,10.0,231435.09,2098553.67,8.611,direct,
2016-03-08 01:00:00,9.197,7.807,8.611,173320.78,1498668.66,8.85,direct,
2016-03-09 01:00:00,10.86,8.771,8.85,196288.13,1935482.9,10.71,direct,
2016-03-10 01:00:00,11.0,9.806,10.71,135243.0,1411407.43,9.98,direct,
2016-03-11 01:00:00,10.46,9.354,9.98,116057.94,1150841.79,10.03,direct,
2016-03-12 01:00:00,12.17,9.9,10.03,239777.28,2739342.82,11.93,direct,
2016-03-13 01:00:00,13.59,11.82,11.93,168914.01,2165728.54,13.42,direct,
2016-03-14 01:00:00,13.5,10.1,13.42,259916.98,3123179.16,11.26,direct,
2016-03-15 01:00:00,11.97,10.68,11.26,147308.77,1677203.32,11.66,direct,
2016-03-16 01:00:00,12.3,11.41,11.66,91763.56,1096393.38,11.55,direct,
2016-03-17 01:00:00,11.55,9.005,11.55,282867.16,2849230.37,9.738,direct,
2016-03-18 01:00:00,9.927,7.334,9.738,420770.55,3607333.11,9.548,direct,
2016-03-19 01:00:00,9.987,8.706,9.548,133245.31,1256805.21,9.268,direct,
2016-03-20 01:00:00,9.666,8.503,9.268,85527.3,768016.87,9.002,direct,
2016-03-21 01:00:00,10.71,8.836,9.002,169476.71,1687939.28,10.69,direct,
2016-03-22 01:00:00,10.77,9.625,10.69,156245.53,1603183.4,10.04,direct,
2016-03-23 01:00:00,11.14,9.885,10.04,109988.49,1175068.74,11.13,direct,
2016-03-24 01:00:00,11.12,9.663,11.13,152615.81,1558946.55,9.969,direct,
2016-03-25 01:00:00,10.13,9.357,9.969,60632.73,583253.6,9.545,direct,
2016-03-26 01:00:00,10.02,9.5,9.545,33797.15,330581.59,9.875,direct,
2016-03-27 01:00:00,9.981,9.0,9.875,49222.39,464057.49,9.294,direct,
2016-03-28 02:00:00,10.51,9.232,9.294,138505.55,1409917.04,10.37,direct,
2016-03-29 02:00:00,10.7,10.1,10.37,85202.71,885837.59,10.47,direct,
2016-03-30 02:00:00,10.72,10.11,10.47,86650.97,909488.59,10.5,direct,
2016-03-31 02:00:00,10.9,9.964,10.5,209799.43,2175623.14,10.04,direct,
2016-04-01 02:00:00,10.4,9.991,10.04,115130.2,1180264.06,10.21,direct,
2016-04-02 02:00:00,10.34,10.0,10.27,696411.87,7097915.09,10.19,multiply,BTC
2016-04-03 02:00:00,10.32,10.07,10.19,422948.81,4303724.08,10.18,multiply,BTC
2016-04-04 02:00:00,10.19,9.646,10.16,71606.16,706889.95,9.76,direct,
2016-04-05 02:00:00,9.791,8.882,9.76,113820.5,1062912.56,9.127,direct,
2016-04-06 02:00:00,9.743,8.963,9.127,73679.57,693358.5,9.425,direct,
2016-04-07 02:00:00,9.45,8.704,9.425,64749.34,584690.24,8.856,direct,
2016-04-08 02:00:00,9.089,8.366,8.856,78804.94,680385.63,8.523,direct,
2016-04-09 02:00:00,8.828,7.865,8.523,92616.51,764089.98,8.029,direct,
2016-04-10 02:00:00,8.07,6.461,8.029,283385.59,2067174.26,7.71,direct,
2016-04-11 02:00:00,7.893,6.833,7.71,83945.05,619524.09,7.597,direct,
2016-04-12 02:00:00,7.608,6.253,7.597,167005.69,1127994.07,6.598,direct,
2016-04-13 02:00:00,7.699,6.238,6.598,195170.43,1363977.89,7.173,direct,
2016-04-14 02:00:00,7.895,7.098,7.173,83397.63,629930.32,7.501,direct,
2016-04-15 02:00:00,7.668,7.191,7.501,47393.73,351274.32,7.239,direct,
2016-04-16 02:00:00,7.63,7.19,7.239,25367.12,187620.38,7.571,direct,
2016-04-17 02:00:00,8.577,7.553,7.571,117912.3,965409.63,8.337,direct,
2016-04-18 02:00:00,8.44,7.52,8.337,107257.14,856950.79,7.875,direct,
2016-04-19 02:00:00,8.215,7.568,7.875,50613.39,400108.16,7.666,direct,
2016-04-20 02:00:00,7.84,7.318,7.666,49372.58,372413.62,7.57,direct,
2016-04-21 02:00:00,7.701,7.1,7.57,56023.74,415365.07,7.15,direct,
2016-04-22 02:00:00,7.34,6.762,7.15,60014.81,425714.29,6.926,direct,
2016-04-23 02:00:00,7.676,6.869,6.926,45660.83,331279.34,7.428,direct,
2016-04-24 02:00:00,7.544,7.057,7.428,44869.11,327551.07,7.12,direct,
2016-04-25 02:00:00,7.247,6.451,7.12,88582.48,605842.13,6.636,direct,
2016-04-26 02:00:00,6.773,6.271,6.636,56989.62,370539.58,6.62,direct,
2016-04-27 02:00:00,7.097,6.482,6.62,51330.62,350770.36,6.871,direct,
2016-04-28 02:00:00,6.946,6.302,6.871,51844.54,339691.26,6.436,direct,
2016-04-29 02:00:00,6.802,6.346,6.436,48121.71,317964.04,6.559,direct,
2016-04-30 02:00:00,8.242,6.51,6.559,193188.12,1478020.72,7.64,direct,
2016-05-01 02:00:00,7.859,7.299,7.64,61656.76,468667.48,7.653,direct,
2016-05-02 02:00:00,8.96,7.639,7.653,162211.26,1380795.95,8.777,direct,
2016-05-03 02:00:00,8.835,8.05,8.777,69038.47,575159.38,8.122,direct,
2016-05-04 02:00:00,8.744,8.066,8.122,46557.86,389528.43,8.198,direct,
2016-05-05 02:00:00,8.788,8.107,8.198,55868.33,477740.3,8.604,direct,
2016-05-06 02:00:00,8.795,8.002,8.604,73660.18,618074.13,8.157,direct,
2016-05-07 02:00:00,8.428,8.114,8.157,25178.91,206969.52,8.196,direct,
2016-05-08 02:00:00,8.452,7.841,8.196,40203.56,327504.98,8.343,direct,
2016-05-09 02:00:00,8.468,8.093,8.343,41324.7,343540.59,8.216,direct,
2016-05-10 02:00:00,8.365,7.94,8.244,872663.05,7182183.75,8.23,multiply,BTC
2016-05-11 02:00:00,8.798,8.228,8.226,53105.38,456452.17,8.701,direct,
2016-05-12 02:00:00,9.249,8.653,8.701,103718.83,932087.31,8.919,direct,
